name_title,description
Arizona Graphic Tee - Preschool Boys 4-7,"Featuring a smile-inducing graphic on cotton-rich fabric, this soft, durable tee is sure to be a casual day favorite. crewneck short sleeves cotton/polyester washable imported"
Made For Life™ Polar Fleece Vest,"Add a lightweight layer of warmth to any outfit with our soft and plush polar fleece vest. zip front front pockets polyester washable imported misses: approx. 26⅝"" - 28½"" front length petite: approx. 23"" - 25"" front length "
Tough Duck™ Avaiator Hat,"Cotton duck aviator hat keeps your head comfortably covered with layers of cold-weather protection, including a quilted cotton lining with Thinsulate™ insulation and faux-fur trim. cotton lining with Thinsulate™ insulation snap-down visor button-open ear panels snap buckle closure shell and lining: cotton faux fur: polyester washable imported"
Clarks® Hayla Heaven Strap Sandals - Wide Width,"Our sandals are a warm-weather must-have look, featuring a snakeskin upper, an OrthoLite™ footbed to absorb impact with every step and open-cell technology for optimal breathability.  technology OrthoLite footbed absorbs impact with every step and offers breathability, moisture management and is antimicrobial open-cell technology for optimal breathability construction leather/synthetic upper EVA sole details 2"" heel adjustable hook-and-loop closure open toe"
Cathy's Concepts Personalized Large Wine Decanter,"A must-have for entertaining, this sleek, curvaceous wine decanter is topped with a custom-etched, birch wood stopper.   clear glass body stopper can be engraved with a single block initial 67.6-ounce capacity Glass/wood. Dishwasher-safe decanter; wipe stopper clean with a dry cloth. Imported."
Liz Claiborne® Lasercut Skirted Swim Bottom,"Create a look that's packed with sunny weather fun in our Liz Claiborne skirted swim bottoms. lined nylon/elastane hand wash, dry flat imported"
Arizona Jeggings - Juniors Plus,"Rock on in the retro-cool feel of our take-notice jeggings. 30"" inseam 5-pocket styling cotton/rayon/polyester/spandex washable imported"
U.S. Polo Assn.® Christmas Tree Knit Beanie,"Top off your most festive looks with this warm, Christmas-themed beanie. acrylic hand wash, dry flat imported"
Robby Len by Longitude® Dot-To-Dot Empire Swimdress - Plus,"Enjoy some warm weather fun with our swimdress, designed with stylish piping along with features that minimize the waist. adjustable straps molded cups partially lined nylon/spandex hand wash, line dry imported"
Bleu™ Gold-Tone Tassel Pendant Necklace,"Metal: Gold-tone metalStones: Acrylic brown stonesClosure: Lobster claspDimensions: 28"" long chainPendant Size: .8x4.5""  Jewelry photos are enlarged to show detail."
U.S. Polo Assn.® Bermuda Shorts with Reversible Belt - Girls 7-16,"Our Bermuda shorts are comfy, preppy and cute—featuring a reversible belt to finish her warm-weather look. includes belt zip fly with hook-and-eye closure 2 front and 2 back pockets cotton/polyester washable imported"
Lugz® Drifter Hi Boys Boots - Toddler,"An updated version of the classic drifter, our high-top boots complete his cute look while their cushioned insole provides all-day comfort. nubuck upper lace up rubber sole"
"Hot Tools® Nano Ceramic 1"" Flat Iron","The Hot Tools 1"" nano ceramic flat iron makes it quick and easy to create a salon-quality look.   leaves hair soft, shiny and straight reduces frizz smooth surface for easy styling Imported.  JCPenney limits the sale of all salon products and salon special purchases to 8 of any one item, up to a maximum of 12 items, per customer, per month."
ASICS® GEL-Excite 3 Womens Lace-Up Running Shoes,"The energetic design of these shoes features a rear-foot cushioning system and breathable mesh upper, which is perfect for everyday comfort. These are the ideal choice for low-mileage runners seeking a great fit and a cushioned ride.   technology rear-foot GEL cushioning system absorbs shock during impact reflectivity construction breathable nylon mesh and synthetic upper AHAR-ASICS high-abrasion rubber outsole details lace-up removable sock liner mesh upper with reinforced overlays for support and exceptional breathability"
Polder 3-Tier Chrome Shoe Tree,"Made of a sturdy chromed steel construction, this 3-tier shoe tree can handle up to an incredible 18 pairs of shoes. revolving baskets for easy access space-saving design only uses 1 sq. ft. weighted, stable metal/cement base 11.25x11.25x37""H assembly required; tools included wipe clean with damp cloth imported"
Love Indigo Texas Back Pocket Jeans,Unleash your inner cowgirl in our flattering denim jeans with Lone Star-shaped embroidery and embellishment on the back pockets. 5-pocket styling cotton/polyester/spandex washable imported
Ambrielle® Mystique® Convertible Plunge Push-Up Bra,"Perfect for lower, open necklines, our Ambrielle plunge push-up bra adds lift to your silhouette while maintaining its support. Convertible straps offer wardrobe versatility. Style: plunge; provides less coverage for lower necklines Padding: push up; includes underwire for shape and support Fabric: nylon/spandex Care: hand wash, line dry Origin: imported  "
MUK LUKS® Luna Womens Boots,"Classic winter style gets a trendy update with these boots featuring knit detail and adjustable side straps. polyester upper 11"" shaft height 15"" shaft circumference adjustable side buckles water-resistant outer knit detail rubber sole Measurements are approximate and may vary slightly by size."
Graco® Glider Elite™ Gliding Swing - Azalea,"Soothe your baby and accomplish your to-do list at the same time with this elite gliding swing. It features 6 swing speeds, 2-vibration speeds, doubles as a bouncer and is designed to easily move around the house. seat doubles as a bouncer 2 vibration speeds 6 gliding speeds uses 40% less space than other swings 28x24.5x36""H for children 5.5-30 lbs. some assembly required, instructions included plastic wipe clean imported meets JPMA/CPSIA/CPSC/CARB requirements"
City Streets® Cropped Yoga Pants,"Whether you're feeling like a workout warrior or a couch potato, our soft, comfy yoga pants are the perfect choice.   22"" inseam black: cotton/spandex other colors: cotton/polyester/spandex washable imported"
John Deere Womens Lightweight Leather Work Boots - Wide Width,"A touch of pink brings a delicate balance to these heavy-duty work boots fashioned in supple leather. technology oil- and heat-resistant sole construction leather upper synthetic sole details lace up 6"" shaft height removable orthotic insert Measurements are approximate and may vary slightly by size."
Sleep Chic Sleeveless Nightshirt,"Sweet dreams will find you in no time when you snuggle into bed in our sleeveless nightshirt by Sleep Chic. roundneck 36½"" length 100% cotton washable imported"
The Juicing Bible Second Edition,"Get the most out of your fruits and vegetables by following Pat Crocker's delicious and nutritious recipes in The Juicing Bible. 350 recipes for delicious fruit and vegetable juices, tonics, cleansers, digestives, teas, roughies, smoothies, milk and coffee substitutes and frozen treats also includes information on the seven body systems, including their importance to good health get details on 80 common health concerns with recommendations on how to use natural foods to combat each condition with 128 illustrations of fruits, vegetables and herbs plus information on their uses and healing properties, and advice on purchasing and storage Measures 7x10"". Imported.  "
OshKosh B’gosh® Floral Jogger Pants - Preschool Girls 4-6x,"Liven up any outfit with these silky-soft jogger pants, featuring a bold floral print and comfy waistband. covered elastic waist with tacked bow tapered leg cinched cuffs viscose washable imported"
"Concord 25"" Curio Cabinet","Perfectly sized for entryways or tight spaces, this handsome curio cabinet makes a big impact with its New England-style stepped frame moldings and rope twist accents. sturdy hardwood and metal frame doweled, glued and butt-and-mitered-joint joinery 4 adjustable glass shelves; 1 fixed shelf each shelf has a 25-pound capacity 2 hinged doors lighted interior and mirrored back brighten up displayed items antique brass hardware glides help prevent surface damage Measures 25Wx11Dx70""H. Wipe clean with a damp cloth. Imported."
Natico Zippered Case for iPad® or Tablet,"This protective zippered sleeve is extremely lightweight yet durable. Made of a neoprene, this case allows you to safely transport your iPad or tablet in any bag or on its own. It has an interior pocket for additional accessories and Velcro® tabs to secure the tablet. zipper-sleeve design durable construction provides great protection interior pocket Velcro® tabs to secure the tablet neoprene wipe clean with a soft dry cloth 8x10½x1"" imported   iPad is a registered trademark of Apple, Inc."
Ambrielle® Active Cross-Trainer Sports Bra,"Get maximum comfort and support, in our sports bra from Ambrielle. full coverage adjustable comfort straps hidden underwire breathable spacer cups give support moisture wicking fabric nylon/spandex washable imported"
"Granite Gear Cross-Trek 26"" Wheeled Duffel Bag","Handle short trips or long vacations in rugged style with this wheeled duffel bag that has plenty of space. expandable up to 2.25"" Repelaweave and Repelagrid fabrics for maximum protection against elements water-resistant and ripstop fabric double stitch seams durable aircraft aluminum pull handle with rubberized grip padded comfort grab handles for easy lifting ventilated, high-density and load-absorbing skeletal foam shoulder straps padded, tuck-away and load bearing hip belt to carry up to 70% of the load load stabilizing sternum strap adjustable load lifter straps to transport weight over the center of gravity 3 interior compartments 2 exterior compartments 2 stationary rugged wheels with impact-absorbing wheel housing and bumper fortification TSA approved lined interior with divider and garment straps heavy duty compression straps for zipper and seam stress release zippered divider curtain for packing versatility expandable drop-bottom compartment for 15% additional packing space Hypalon® corner protection and kick plate durable water-repellent zippers Nylon. Measures 26x14.5x12.5""H; weighs 9.1 pounds. Spot clean. Imported."
Burnes of Boston® Life Is What You Make It 3-Opening Collage Picture Frame,"Serving as a daily reminder that you’re in control of your own happiness, this charming photo frame is perfect for displaying three of your favorite images. wood frame with white and gray finishes multiple sawtooth hangers for easy hanging holds one 6x4"" and two 4x4"" photos hangs horizontally  Wood/metal. Measures 20.1x2.3x10.2""H. Imported."
Danny & Nicole® Sleeveless Floral Shadow Stripe Fit-and-Flare Dress,"  Look your absolute best in our retro-inspired fit-and-flare dress with a very bold and modern floral stripe print.   scoopneck sleeveless belt included approx. 38"" length from shoulder lined polyester hand wash, line dry imported"
Worthington® Sleeveless Keyhole Asymmetrical Blouse - Plus,"Our blouse features a halter neck and an asymmetrical sheer inset for an ultra-chic warm-weather look. roundneck sleeveless asymmetrical sheer inset back keyhole 26 5/16-37¼"" length polyester washable imported"
Arizona Camo Super Skinny Jeans - Juniors Plus,"The tough-girl look mixes with ultra-feminine style in our camo print skinny jeans. 5-pocket styling 30"" inseam cotton/spandex washable imported"
Pulsar® Mens Silver-Tone Black Ion Watch PS9273,"For men with modern style, nothing tops the clean curves of this handsome watch. Nonreflective black ion plays nicely against the shine of gold-tone, featuring luminous hands and date display.   Brand: Pulsar® Dial Color: Black ion Strap: Black ion stainless steel Clasp: Push-button release clasp Movement: Quartz Water Resistance: 50m Case Width: 44mm Case Thickness: 10mm Bracelet Dimensions: 8” long, 22mm to 20mm wide taper Model No.: PS9273 Special Features: black ion dial, black ion stainless steel bracelet, gold-tone hands and markers, date display, luminous hands, 5 ATM water resistance   Jewelry photos are enlarged to show detail."
Romantica Washable Rectangular Rug,"These rugs feature meandering vines of lilies and a tone-on-tone field of a scrolling leaf patterns.   dye-injection technology creates high-def patterns durable fiber is great for high-traffic areas heat-set construction for long-lasting color fast-drying to resist piling and fuzzing slip-resistant embossed latex back printed construction highly durable nylon crafted in America ¼"" pile height; ¼"" overall thickness Stain Resistant: Yes Fade Resistant: Yes  Slip Resistant: Yes Rug Backing: Latex  Fire Retardant: Yes  Rug Pad Recommended: No  Use: Indoor  Care Instructions: Washable Origin: Made in America  "
Mens Diamond-Accent Stainless Steel 8mm Comfort Fit Wedding Band,"This men's 8mm stainless steel ring with diamond accents reflects bold, modern style. Designed with a rounded comfort fit interior that slides on easily and avoids pinching. Attractively boxed for easy gift giving.Metal: Stainless steelStones: Diamond accentsWidth: 8mmSome diamonds may consist of fewer than 17 facets.Jewelry photos are enlarged to show detail."
Asics® Long-Sleeve Mechanical Stretch Quarter-Zip Shirt,"Dependable comfort is a hallmark of our Asics quarter-zip shirt, whether it's your workout go-to or reliable relaxation shirt. quarter-zip front long sleeves thumbholes polyester washable imported"
OshKosh B'gosh® Denim Overalls - Boys 3m-24m,"These classic overalls pair perfectly with a variety of tees, while the all-cotton fabric and easily adjustable straps provide all-day comfort. 6m-24m: snaps along legs for easy diaper changes 2 front pockets, 2 back pockets, chest pocket cotton washable imported"
Oster® 4-Slice Toaster Oven,"Compact toaster oven does the job perfectly when it comes to toasting, baking, broiling as well as keeping food warm.   4-slice capacity toasts bread quickly and evenly attractive black finish with silver accents includes baking pan Dimensions: 7.6 ""x 11.2"" x 9.7"" 1000 watts. Metal/glass/plastic. Imported."
Liz Claiborne® Floral Faux-Wrap Skirt - Plus,"Comfortable, stylish and easily paired with your favorite tops, our Liz Claiborne floral faux-wrap skirt is a smart choice for your upscale wardrobe.●    elastic waistband●    approx. 26½-27½"" length●    rayon/spandex●    washable●    imported  "
Disney Collection Frozen Cover-Up - Girls 2-10,Keep your little girl from freezing after a swim with this tunic-style Frozen cover-up featuring a cinched waistband and a woven patch with embroidered characters from the hit movie.   hood v-neck cotton/polyester washable imported  
Alfred Dunner® Classic Pants,"You won't have to sacrifice comfort or style with our soft pants.   elastic waist slash pockets flax: polyester/rayon/linen other colors: polyester/rayon washable imported misses: approx. 28-30½"" inseam petite: approx. 27-28½"" inseam"
Cake Boss™ Professional Nonstick Bakeware 3-pc. Square Cake Pan Set,"Special occasions can be even more extraordinary with tiered cakes created with the Cake Boss nonstick 3-pc. square cake pan set. Perfect for creating three-tier cakes for intimate weddings, the pans are also ideal for baking special grooms’ cakes or gorgeous cakes for other important events.   heavy-duty, folded aluminized steel resists corrosion and warping rolled, wire-reinforced rims provide added strength and easier grip long-lasting, nonstick coating and quilted surface resist wear, promote even heat distribution and beautiful browning with superb release includes 6"", 8"" and 10"" pans oven safe to 450°F Aluminized steel. Hand wash. Imported. "
Dolce Girl Bella Hobo Crossbody Bag,"Easily finish off any look with this crossbody bag, featuring two-tone colors, a tassel detail and tons of hardware. double top handles, 9"" drop synthetic interior back wall pocket and 2 cellphone pockets 13x2x14"" imported"
"Heys® Lightweight Pro 21"" Hardside Spinner Luggage","Constructed with lightweight components, this hardside spinner luggage features uncompromising durability for any type of travel. expandable up to 2"" hardside outer shell telescopic trolley handle top carry handle 2 large interior compartments with buckled compression strap 4 spinner wheels for 360° rolling maneuverability through crowds and airports built-in TSA approved lock included water resistant corner guards polycarbonate with polyester lining 13x9x21""H; weighs 5.2 pounds imported"
St. John's Bay® 3/4-Sleeves Rayon V-Neck Blouse - Plus,"Our pretty St. John's Bay blouse has just the right amount of feminine softness. v-neck 3/4 sleeves    approx. 30¼"" length cape coral and white: rayon American navy and marina azure: polyester machine wash, line dry imported"
St. John's Bay® Clutch Mens Leather Boots,"Perfect for the fashion-conscious man, our supple leather boots finish off your casual look with minimalistic flair. construction leather upper rubber sole details lace up"
DR Collection Sleeveless Floral Sheath Dress - Petite,"You'll shine as bright as the sun when you wear our gorgeous floral sheath dress. crewneck sleeveless 35½"" length from shoulder lined polyester/nylon/rayon hand wash, dry flat imported"
Design Imports Tango Red Micro Stripe Set of 6 Placemats,"Entertain with easy-care placements that look stylish whether you dine inside or out. indoor/outdoor easy care set of 6 PVC/polyester each placemat measures 13x19"" wipe clean with damp cloth imported"
Disney Collection Cinderella Costume Shoes - Girls,"There's no way she'll leave behind one of these glittery Cinderella costume shoes, featuring a beautiful cameo and 3D bows. glitter details heart-shaped Cinderella cameo organza and silk bows contrasting foil trim satin footbed synthetic upper urethane sole 3/4"" wedge heel"
4-Pc. Thomas the Tank Engine Pajama Set - Toddler Boys 2T-4T,"Our 4-piece pajama set lets him take his love of Thomas and Friends to bed with him for safe, dreamland adventures. 4-pieces; 2 tops, 2 bottoms elastic waistband short sleeves 100% cotton washable imported For child's safety, garment should fit snugly. This garment is not flame resistant. Loose-fitting garment is more likely to catch fire."
SensorPEDIC® Waterproof Mattress Protector,"Fall asleep with the complete moisture protection of this waterproof mattress protector without compromising the comfort of your bed. Luxurious circular knit cover with a waterproof back. 18” stretch-to-fit bedskirt waterproof protector SensorPEDIC® waterproof technology fitted skirt Viscose/rayon/polyester with polyester back and polyurethane fill. Machine wash, line dry. Imported. Twin: 39x75"" Full: 54x75” Queen: 60x80"" King: 76x80"" Cal. King: 84x72”"
JCPenney Home™ Imperial Washable Rectangular Rug,"Our most versatile rugs come in a wide array of sizes and shapes to suit any room of your home.   cut-and-loop pile creates a subtle architectural border element for a clean-lined, stylish look taped edges and bar-tacked corners thick, heavyweight, easy-to-clean yarn is ideal for high-traffic areas machine-tufted construction highly durable nylon crafted in America ¼"" to ⅝"" pile height range; 1⅜""overall thickness Stain Resistant: No Fade Resistant: Yes Slip Resistant: Yes Rug Backing: Latex Fire Retardant: No Rug Pad Recommended: No, the latex backing provides slip resistance and protection for underlying floors. Use: Indoor Care Instructions: Washable Origin: Made in America"
Speedo® Marina Volley Swim Trunks,"Get drier faster and protect your skin from the sun with these Speedo swim trunks that feature sun protection and a quick-drying, brushed microfiber fabric. Block the Burn® UPF 50+ sun protection VaporPLUS™ quick-drying fabric relaxed fit full elastic waist side-seam pockets interior key pocket cargo side pocket mesh liner 9"" inseam polyester washable imported"
Nike® Graphic Tee - Boys 8-20,The cotton comfort of this Nike tee makes it ideal for all-day activity for your hoops-crazed youngster. crewneck 100% cotton washable imported  
Zunammy® Mens Black Silicone Strap Sport Watch,"This sporty watch keeps you looking sharp—and right on time—with its easy-read dial accented by a green ring and secure silicone strap. Brand: Zunammy Dial Color: Black Strap: Black silicone Movement: Quartz Case Width: 46mm Case Thickness: 13mm Bracelet Dimensions: 10"" long; 23mm wide Model No.: NWR319427GR-BK Jewelry photos are enlarged to show detail.  "
Madison Park Brady Coverlet Bedding Ensemble,"Add style to your bedroom décor with our coverlet and bedding set, featuring an asymmetrical floral pattern to create a contemporary look with a seafoam blue background to add a touch of color to your bedroom's palette. The coordinating decorative pillow features a geometric print in brown, blue and white hues to pull the look together. The 180-thread count cotton sheet set features a blue and white print to complete the look. floral pattern on the coverlet geometric print on the decorative pillow coverlet, shams and decorative pillows: polyester with cotton/other fill sheets: 100% cotton twin: 68x86"" full: 78x86"" queen: 90x90"" king/cal. king: 104x92"" coverlet, shams and bedding: washable decorative pillows: spot clean imported 6-piece twin set includes: 1 coverlet 1 sham 1 flat sheet 1 fitted sheet 1 pillowcase 1 decorative pillow 8-piece full, queen, king set includes: 1 coverlet 2 shams 1 flat sheet 1 fitted sheet 2 pillowcases 1 decorative pillow Coordinating accessories sold separately. Twin, full and queen sets include standard sham(s) and pillowcase(s). King and cal. king sets include king shams and pillowcases. For best results, launder in a large-capacity front-loading washer and dryer. If the set doesn't have free movement in the washer and dryer, a large-capacity commercial washer and dryer are recommended."
Levi's® Roll-Cuff Mid-Length Shorts,"Let the casual-cool styling of our roll-cuff shorts set off your laidback weekend style with it's relaxed denim construction. button-and-zip fly closure 4½"" inseam Legacy: cotton/polyester/viscose/elastane Summer Shade: cotton/polyester/elastane others: cotton/elastane washable imported"
Heart-Shaped Genuine Peridot and Diamond-Accent Claddagh Pendant Necklace,"A timeless Irish sentiment. Crafted in stunning 18K yellow gold over sterling silver, this genuine peridot and diamond-accent pendant necklace showcases a classic heart and crown design—representing love, loyalty and friendship.Metal: 18K yellow gold over sterling silverStone: 5mm heart-shaped genuine peridotOther Stones: Diamond accentSetting: Prong and pavéClosure: Spring-ringDimensions: 18"" long cable chainPendant Size: 20x24.5mm longGemstones may be treated and may require special care.Some diamonds may consist of fewer than 17 facets.Jewelry photos are enlarged to show detail."
Maidenform® Shapewear Wear Your Own Bra Body Briefer - 2656,"Our Maidenform body briefer provides firm control and helps smooth and shape your tummy, waist and back for a smooth, sexy looking appearance. The Wear Your Own Bra feature allows you to wear your favorite bra for any occasion.    firm control Wear Your Own Bra for fit flexibility helps smooth tummy, waist and back helps provide all-over smoothing and control hook-and-eye gusset nylon/elastane/cotton hand wash, line dry imported manufacturer's style #2656"
CLEAN Sueded Oud,"Sueded Oud is a fresh and creamy approach to a traditional oud fragrance. It is a discovery of natural textures and an exploration of the fluid movement between the brighter and darker facets of fragrance. Each CLEAN Reserve fragrance was created to be dynamic and evoke, not memories of the past, but possibilities and experiences yet to be discovered. Each is linear without much movement from top to bottom, making it ideal for layering and blending. Notes: Incense Oil, Blue Cypress, Birchwood, Red Pimento, Honeysuckle, Temple Oud, Night Blooming Jasmine, White Magnolia, Fir Balsam, Sarcocaulon, Soft Suede, Gold Patchouli, Black Amber, Praline, Skin Musk, Olibanum Tears. Style: Sophisticated. Mysterious. Sexy. What else you need to know: The nomadic Himbas tribe waits until the hard, spiny bushman candle completes its natural life cycle before harvesting the bark to sell for fragrance extraction. Continued use of this incredible shrub provides support that allows the tribe to preserve their traditional lifestyle and fosters sustainable plant growth. Size:3.4 oz"
